Hora,Hora,S_industrial [p.u.],S_residencial [p.u.],S_industrial [MVA],S_residencial [MVA],S [MVA],,,,,
0h 0m,00:00,"0,33","0,25","0,980595","2,297375","3,27797",00:00,,Pmax [MVA],"10,43753",19:30
0h 30m,00:30,"0,32","0,22","0,95088","2,02169","2,97257",00:30,,Pmin [MVA],"2,42395",01:30
1h 0m,01:00,"0,3","0,18","0,89145","1,65411","2,54556",01:00,,,,
1h 30m,01:30,"0,29","0,17","0,861735","1,562215","2,42395",01:30,,,,
2h 0m,02:00,"0,28","0,18","0,83202","1,65411","2,48613",02:00,,,,
2h 30m,02:30,"0,3","0,18","0,89145","1,65411","2,54556",02:30,,,,
3h 0m,03:00,"0,31","0,19","0,921165","1,746005","2,66717",03:00,,,,
3h 30m,03:30,"0,33","0,17","0,980595","1,562215","2,54281",03:30,,,,
4h 0m,04:00,"0,37","0,18","1,099455","1,65411","2,753565",04:00,,,,
4h 30m,04:30,"0,42","0,2","1,24803","1,8379","3,08593",04:30,,,,
5h 0m,05:00,"0,48","0,21","1,42632","1,929795","3,356115",05:00,,,,
5h 30m,05:30,"0,53","0,25","1,574895","2,297375","3,87227",05:30,,,,
6h 0m,06:00,"0,65","0,29","1,931475","2,664955","4,59643",06:00,,,,
6h 30m,06:30,"0,75","0,39","2,228625","3,583905","5,81253",06:30,,,,
7h 0m,07:00,"0,88","0,52","2,61492","4,77854","7,39346",07:00,,,,
7h 30m,07:30,"0,88","0,6","2,61492","5,5137","8,12862",07:30,,,,
8h 0m,08:00,"0,89","0,61","2,644635","5,605595","8,25023",08:00,,,,
8h 30m,08:30,"0,93","0,63","2,763495","5,789385","8,55288",08:30,,,,
9h 0m,09:00,1,"0,71","2,9715","6,524545","9,496045",09:00,,,,
9h 30m,09:30,"0,97","0,68","2,882355","6,24886","9,131215",09:30,,,,
10h 0m,10:00,1,"0,69","2,9715","6,340755","9,312255",10:00,,,,
10h 30m,10:30,"0,94","0,72","2,79321","6,61644","9,40965",10:30,,,,
11h 0m,11:00,"0,8","0,63","2,3772","5,789385","8,166585",11:00,,,,
11h 30m,11:30,"0,82","0,68","2,43663","6,24886","8,68549",11:30,,,,
12h 0m,12:00,"0,85","0,73","2,525775","6,708335","9,23411",12:00,,,,
12h 30m,12:30,"0,86","0,7","2,55549","6,43265","8,98814",12:30,,,,
13h 0m,13:00,"0,86","0,71","2,55549","6,524545","9,080035",13:00,,,,
13h 30m,13:30,"0,85","0,62","2,525775","5,69749","8,223265",13:30,,,,
14h 0m,14:00,"0,85","0,58","2,525775","5,32991","7,855685",14:00,,,,
14h 30m,14:30,"0,86","0,59","2,55549","5,421805","7,977295",14:30,,,,
15h 0m,15:00,"0,86","0,52","2,55549","4,77854","7,33403",15:00,,,,
15h 30m,15:30,"0,81","0,49","2,406915","4,502855","6,90977",15:30,,,,
16h 0m,16:00,"0,78","0,53","2,31777","4,870435","7,188205",16:00,,,,
16h 30m,16:30,"0,65","0,55","1,931475","5,054225","6,9857",16:30,,,,
17h 0m,17:00,"0,6","0,57","1,7829","5,238015","7,020915",17:00,,,,
17h 30m,17:30,"0,53","0,63","1,574895","5,789385","7,36428",17:30,,,,
18h 0m,18:00,"0,5","0,69","1,48575","6,340755","7,826505",18:00,,,,
18h 30m,18:30,"0,44","0,84","1,30746","7,71918","9,02664",18:30,,,,
19h 0m,19:00,"0,43","0,92","1,277745","8,45434","9,732085",19:00,,,,
19h 30m,19:30,"0,42",1,"1,24803","9,1895","10,43753",19:30,,,,
20h 0m,20:00,"0,42","0,98","1,24803","9,00571","10,25374",20:00,,,,
20h 30m,20:30,"0,4","0,95","1,1886","8,730025","9,918625",20:30,,,,
21h 0m,21:00,"0,39","0,89","1,158885","8,178655","9,33754",21:00,,,,
21h 30m,21:30,"0,35","0,69","1,040025","6,340755","7,38078",21:30,,,,
22h 0m,22:00,"0,37","0,63","1,099455","5,789385","6,88884",22:00,,,,
22h 30m,22:30,"0,34","0,5","1,01031","4,59475","5,60506",22:30,,,,
23h 0m,23:00,"0,35","0,43","1,040025","3,951485","4,99151",23:00,,,,
23h 30m,23:30,"0,33","0,38","0,980595","3,49201","4,472605",23:30,,,,
24h 0m,00:00,"0,32","0,25","0,95088","2,297375","3,248255",00:00,,,,